id,name,party,type,age,sex
1,Politik,NA,1,NA,NA
2,Verband,NA,1,NA,NA
3,Gewerkschaft,NA,1,NA,NA
4,Umweltschutz,NA,1,NA,NA
5,Industrie,NA,1,NA,NA
6,Energieunternehmen,NA,1,NA,NA
7,Wissenschaft,NA,1,NA,NA
8,Regionalvertreter,NA,0,NA,NA
9,CDU,9,1,NA,NA
10,CSU,10,1,NA,NA
11,SPD,11,1,NA,NA
12,Die Gruenen,12,1,NA,NA
Allmendinger,Allmendinger,NA,0,4,1
Grothus,Grothus,NA,0,NA,1
Hasselfeldt,Hasselfeldt,10,0,4,1
Herntier,Herntier,NA,0,4,1
Kaiser,Kaiser,NA,0,3,2
Kampeter,Kampeter,9,0,3,2
Kapferer,Kapferer,NA,0,3,2
Kempf,Kempf,NA,0,4,2
Koerzel,Koerzel,11,0,3,2
Kreuzberg,Kreuzberg,9,0,4,2
Laemmel,Laemmel,9,0,3,2
Lenz,Lenz,10,0,1,2
Matthes,Matthes,NA,0,3,2
Miersch,Miersch,11,0,2,2
Nemat,Nemat,NA,0,3,1
Niebert,Niebert,NA,0,1,2
Niebuhr,Niebuhr,NA,0,NA,1
Platzeck,Platzeck,9,0,4,2
Pofalla,Pofalla,9,0,3,2
Praetorius,Praetorius,NA,0,NA,1
Priggen,Priggen,12,0,4,2
Reiche,Reiche,9,0,2,1
Roestel,Roestel,12,0,3,1
Scheidt,Scheidt,11,0,3,2
Schellnhuber,Schellnhuber,NA,0,4,2
Schweitzer,Schweitzer,13,0,3,2
Tillich,Tillich,9,0,3,2
Vassiliadis,Vassiliadis,NA,0,3,2
Wehrspohn,Wehrspohn,NA,0,2,2
Weiger,Weiger,NA,0,4,2
Wodtke,Wodtke,9,0,NA,1